doc_id,category,sub_category,lokasi,tahun,bulan,nilai,satuan ,content,source,satuan,tags
1,kunjungan_wisata,obyek_wisata,Kertha Gosa,,,38474,orang,"Pada bulan None tahun None, jumlah wisatawan nusantara yang berkunjung ke Kertha Gosa  mencapai 38,474 orang.",Dispar Kelungkung,,
2,kunjungan_wisata,obyek_wisata,Goa Lawah,,,34408,orang,"Pada bulan None tahun None, jumlah wisatawan nusantara yang berkunjung ke Goa Lawah mencapai 34,408 orang.",Dispar Kelungkung,,
3,kunjungan_wisata,obyek_wisata,Nusa Penida ,,,714335,orang,"Pada bulan None tahun None, jumlah wisatawan nusantara yang berkunjung ke Nusa Penida  mencapai 714,335 orang.",Dispar Kelungkung,,
4,kunjungan_wisata,obyek_wisata,Lefi Rafting,,,0,orang,"Pada bulan None tahun None, jumlah wisatawan nusantara yang berkunjung ke Lefi Rafting mencapai 0 orang.",Dispar Kelungkung,,
5,hotel,non_bintang,Nusa Penida ,,,619,unit,,Dispar Kelungkung,,
6,hotel,bintang 3,Nusa Penida ,,,9,unit,,Dispar Kelungkung,,
7,hotel,bintang 3,Banjarangkan,,,1,unit,,Dispar Kelungkung,,
8,hotel,non_bintang,Banjarangkan,,,5,unit,,Dispar Kelungkung,,
9,hotel,non_bintang,Klungkung,,,16,unit,,Dispar Kelungkung,,
10,hotel,non_bintang,Dawan,,,6,unit,,Dispar Kelungkung,,
11,restorant ,restorant,Nusa Penida ,,,338,unit,,Dispar Kelungkung,,
12,rumah makan,rumah makan ,Banjarangkan,,,23,unit,,Dispar Kelungkung,,
13,rumah makan,rumah makan ,Klungkung,,,79,unit,,Dispar Kelungkung,,
14,rumah makan,rumah makan ,Dawan,,,28,unit,,Dispar Kelungkung,,
15,destinasi_wisata,Alam,Taman Mumbul Sangeh,,,4.6,,Destinasi wisata Taman Mumbul Sangeh berlokasi di Kabupaten Badung dengan rating 4.6,Google Maps / Manual,rating,
16,destinasi_wisata,Alam,Sangeh Monkey Forest,,,4.6,,Destinasi wisata Sangeh Monkey Forest berlokasi di Kabupaten Badung dengan rating 4.6,Google Maps / Manual,rating,
17,destinasi_wisata,Umum,Objek Wisata Sangeh,,,4.6,,Destinasi wisata Objek Wisata Sangeh berlokasi di Kabupaten Badung dengan rating 4.6,Google Maps / Manual,rating,
18,destinasi_wisata,Umum,Satria Gatotkaca Park,,,4.6,,Destinasi wisata Satria Gatotkaca Park berlokasi di Kabupaten Badung dengan rating 4.6,Google Maps / Manual,rating,
