doc_id,title ,category,sub_category ,location ,description,content,source,tags
1,Kertha Gosa,kunjungan_wisata,obyek_wisata,,,,Dispar Kelungkung,
2,Goa Lawah,kunjungan_wisata,obyek_wisata,,,,Dispar Kelungkung,
3,Nusa Penida ,kunjungan_wisata,obyek_wisata,,,,Dispar Kelungkung,
4,Lefi Rafting,kunjungan_wisata,obyek_wisata,,,,Dispar Kelungkung,
5,Nusa Penida ,hotel,non_bintang,,,,Dispar Kelungkung,
6,Nusa Penida ,hotel,bintang 3,,,,Dispar Kelungkung,
7,Banjarangkan,hotel,bintang 3,,,,Dispar Kelungkung,
8,Banjarangkan,hotel,non_bintang,,,,Dispar Kelungkung,
9,Klungkung,hotel,non_bintang,,,,Dispar Kelungkung,
10,Dawan,hotel,non_bintang,,,,Dispar Kelungkung,
11,Nusa Penida ,restorant ,restorant,,,,Dispar Kelungkung,
12,Banjarangkan,rumah makan,rumah makan ,,,,Dispar Kelungkung,
13,Klungkung,rumah makan,rumah makan ,,,,Dispar Kelungkung,
14,Dawan,rumah makan,rumah makan ,,,,Dispar Kelungkung,
15,Taman Mumbul Sangeh,destinasi_wisata,Alam,,,,Google Maps / Manual,
16,Sangeh Monkey Forest,destinasi_wisata,Alam,,,,Google Maps / Manual,
17,Objek Wisata Sangeh,destinasi_wisata,Umum,,,,Google Maps / Manual,
18,Satria Gatotkaca Park,destinasi_wisata,Umum,,,,Google Maps / Manual,
19,Desa Wisata Penarungan,destinasi_wisata,Umum,,,,Google Maps / Manual,
20,Waterblow,destinasi_wisata,Alam,,,,Google Maps / Manual,
21,Pantai Mengening,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
22,Kawasan Pariwisata Nusa Dua,destinasi_wisata,Umum,,,,Google Maps / Manual,
23,Gunung Payung Cultural Park,destinasi_wisata,Budaya,,,,Google Maps / Manual,
24,Taman Anyar - Traditional Balinese House,destinasi_wisata,Budaya,,,,Google Maps / Manual,
25,Garuda Wisnu Kencana Cultural Park,destinasi_wisata,Budaya,,,,Google Maps / Manual,
26,Desa Wisata Munggu,destinasi_wisata,Umum,,,,Google Maps / Manual,
27,Taman Ayun Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
28,Pantai Double - Six,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
29,Tanah Wuk,destinasi_wisata,Umum,,,,Google Maps / Manual,
30,Taman Sari Wisata Bahari,destinasi_wisata,Alam,,,,Google Maps / Manual,
31,Monumen Taman Mumbul,destinasi_wisata,Alam,,,,Google Maps / Manual,
32,Wana Segara Kertih,destinasi_wisata,Umum,,,,Google Maps / Manual,
33,Pura Geger Beach,destinasi_wisata,Budaya,,,,Google Maps / Manual,
34,DESA WISATA BONGKASA PERTIWI,destinasi_wisata,Umum,,,,Google Maps / Manual,
35,Gunung Payung Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
36,Deluang Sari Turtle Conservation Center,destinasi_wisata,Alam,,,,Google Maps / Manual,
37,Rama Shinta Garden,destinasi_wisata,Umum,,,,Google Maps / Manual,
